Year,Population_Millions,Source
-300000,0.07,Schmidt/Scerri/Durand/Biraben/HYDE
-200000,0.1,Schmidt/Scerri/Durand/Biraben/HYDE
-100000,0.3,Schmidt/Scerri/Durand/Biraben/HYDE
-50000,1.0,Schmidt/Scerri/Durand/Biraben/HYDE
-10000,4.0,Schmidt/Scerri/Durand/Biraben/HYDE
-5000,14.0,HYDE2017
-4000,20.0,HYDE2017
-3000,27.0,HYDE2017
-2000,35.0,HYDE2017
-1000,50.0,HYDE2017
-900,55.0,HYDE2017
-800,60.0,HYDE2017
-700,70.0,HYDE2017
-600,80.0,HYDE2017
-500,100.0,HYDE2017
-400,110.0,HYDE2017
-300,120.0,HYDE2017
-200,140.0,HYDE2017
-100,170.0,HYDE2017
1,190.0,HYDE2017
100,195.0,HYDE2017
200,200.0,HYDE2017
300,205.0,HYDE2017
400,210.0,HYDE2017
500,210.0,HYDE2017
600,220.0,HYDE2017
700,230.0,HYDE2017
800,240.0,HYDE2017
900,250.0,HYDE2017
1000,265.0,HYDE2017
1100,310.0,HYDE2017
1200,360.0,HYDE2017
1300,360.0,HYDE2017
1400,350.0,HYDE2017
1500,460.0,Maddison2020
1550,500.0,Maddison2020
1600,550.0,Maddison2020
1650,600.0,Maddison2020
1700,600.0,Maddison2020
1750,790.0,Maddison2020
1800,910.0,Maddison2020
1810,980.0,Maddison2020
1820,1050.0,Maddison2020
1830,1120.0,Maddison2020
1840,1190.0,Maddison2020
1850,1260.0,Maddison2020
1860,1338.0,Maddison2020
1870,1416.0,Maddison2020
1880,1494.0,Maddison2020
1890,1572.0,Maddison2020
1900,1650.0,Maddison2020
1905,1737.1,Maddison2020
1910,1824.1999999999998,Maddison2020
1915,1911.2999999999997,Maddison2020
1920,1998.3999999999999,Maddison2020
1925,2085.5,Maddison2020
1930,2172.6,Maddison2020
1935,2259.7,Maddison2020
1940,2346.7999999999997,Maddison2020
1945,2433.8999999999996,Maddison2020
1950,2521.0,Maddison2020
1955,2876.9,Maddison2020
1960,3232.8,Maddison2020
1965,3588.7000000000003,Maddison2020
1970,3944.6000000000004,Maddison2020
1975,4300.5,Maddison2020
1980,4656.4,Maddison2020
1985,5012.299999999999,Maddison2020
1990,5368.2,Maddison2020
1995,5724.1,Maddison2020
2000,6080.0,UNWPP2022
2005,6464.0,UNWPP2022
2010,6848.0,UNWPP2022
2015,7232.0,UNWPP2022
2020,7616.0,UNWPP2022
2025,8000.0,UNWPP2022
