Date,BTC_Market_Cap_USD,Gold_Market_Cap_USD
2014-04-01,5699485629.900001,8670122668009.999
2014-05-01,8043847588.999999,8397481524550.0
2014-06-01,8309173471.55,8909523080925.0
2014-07-01,7605389795.28,8606998856470.0
2014-08-01,6327939239.04,8642657094691.0
2014-09-01,5210152212.79,8115438962350.0
2014-10-01,4537818927.03,7874292571668.999
2014-11-01,5110782621.93,7838298568493.0
2014-12-01,4383733932.0,7951048440382.0
2015-01-01,2984485437.0,8616333122218.999
2015-02-01,3514477892.73,8145389196336.0
2015-03-01,3417869647.52,7946213425030.0
2015-04-01,3328978235.2,7950712675427.0
2015-05-01,3254894409.91,7991205929000.0
2015-06-01,3759478012.5,7875367019525.0
2015-07-01,4101544127.35,7353319667491.0
2015-08-01,3345428641.86,7617499534084.999
2015-09-01,3462301561.4,7484536611905.0
2015-10-01,4578556123.7,7666118299568.999
2015-11-01,5611520002.17,7149107421859.999
2015-12-01,6467812296.84,7126208251929.0
2016-01-01,5581785922.2300005,7508510229691.999
2016-02-01,6641240724.96,8315957793475.999
2016-03-01,6369975405.84,8274255786065.001
2016-04-01,6935078233.07,8681337217507.0
2016-05-01,8295081888.000001,8158752641545.0
2016-06-01,10592950778.990002,8874200607659.0
2016-07-01,9842495667.26,9069481505487.0
2016-08-01,9142922105.55,8788714850116.0
2016-09-01,9674737983.18,8834311731005.0
2016-10-01,11131277211.45,8573758125925.0
2016-11-01,11882563890.26,7876307161399.001
2016-12-01,15653551497.9,7726757450441.999
2017-01-01,15667727145.0,8128668101577.0
2017-02-01,19343751451.2,8382170642602.0
2017-03-01,17604661204.74,8385931210098.0
2017-04-01,22213384414.980003,8514394881881.001
2017-05-01,37678589232.24,8518692673305.0
2017-06-01,40303018491.57001,8335902231802.999
2017-07-01,47312123796.63,8521378792945.0
2017-08-01,78276201174.36,8868559756415.0
2017-09-01,71770199221.03,8593702564252.0
2017-10-01,107377813440.52,8532794801415.001
2017-11-01,165922789099.19998,8559051620896.0
2017-12-01,231807746149.88,8747818678597.001
2018-01-01,170202288509.0,9029189710887.0
2018-02-01,173861966257.0,8852107273620.0
2018-03-01,117220875384.5,8898107072455.0
2018-04-01,157198232139.3,8833975966050.0
2018-05-01,127739737436.08,8715786701890.001
2018-06-01,109408921195.5,8410240592840.001
2018-07-01,132736729956.85,8217511508670.0
2018-08-01,120993483520.2,8068230409677.0
2018-09-01,111405736049.79,7993892048640.001
2018-10-01,109418283174.96,8159088406500.0
2018-11-01,69082069250.0,8207008780877.6
2018-12-01,64452505894.45,8610356506020.0
2019-01-01,59753633527.5,8872253170920.0
2019-02-01,66593066849.24999,8817187718300.0
2019-03-01,72156226080.25,8675562060281.001
2019-04-01,93082164524.5,8618079099984.999
2019-05-01,151025864990.0,8764808385320.0
2019-06-01,191176036002.0,9462527961810.0
2019-07-01,179920040988.50003,9484016918930.0
2019-08-01,172000569686.66,10209537833694.0
2019-09-01,149153155952.0,9885994723056.0
2019-10-01,164982651848.0,10157319667892.4
2019-11-01,136550293859.0,9828511762760.0
2019-12-01,129888472800.8,10188297342640.7
2020-01-01,169748942006.59998,10675223680381.7
2020-02-01,155538967869.06,10648006573129.4
2020-03-01,117629019921.98,10576643089593.701
2020-04-01,158348635159.0,11316118395887.5
